z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.012656249999999997,3.8689611806682023,-1.218858218504475e-146,1715.0261775054271,0.2528960091823206,0.003155292758345619,0.0020678313764513874,0.0030814673604669337,0.070564742462911959,0.0056369903747878229,0.15472058605738673,1.5993698780107373e-05,5.8939893264687574e-07,0.76075650651193671
0.012703124999999997,3.891293153304721,-1.2188664223544409e-146,1725.4283668487487,0.25144464921599247,0.0029683178408176432,0.0018635788585217778,0.0028945156085160187,0.070467024126163139,0.0055544660363382979,0.15525967553607495,1.5007986219486092e-05,5.4863284262657467e-07,0.76097686537450604
0.012749999999999997,3.9112772912350744,-1.2188747691056211e-146,1734.7532887318023,0.25015992698333944,0.0027966020652173754,0.001684746691146806,0.0027223276628969757,0.070387304006209989,0.0054666654182492294,0.15574910505730361,1.411304803280267e-05,5.1350969272661106e-07,0.76117862254125046
0.012796874999999997,3.9292182086488059,-1.2188837394683875e-146,1743.1391267839635,0.2490176898534923,0.0026383762289875698,0.0015275712750769058,0.002563699523179498,0.070322277698876931,0.0053753553663535587,0.15619507274245287,1.3297888055597561e-05,4.829386301511937e-07,0.76136386633838693
0.012843749999999998,3.9453585298827099,-1.218892852116808e-146,1750.6963785655219,0.24799896726829523,0.0024922787580747893,0.0013889196757722883,0.0024175188511716948,0.070269546540834241,0.0052819513142879776,0.15660237506163921,1.2553385989669192e-05,4.5610129516812916e-07,0.76153440031093489
0.012937499999999998,3.9728147717502882,-1.2189114816528862e-146,1763.5879939248334,0.24628503881352,0.0022332538829016547,0.0011590122089679372,0.0021599160551053838,0.070194815710796013,0.0050934535182792966,0.15731183503311322,1.1257636892479001e-05,4.1149462993950644e-07,0.76183604445931397
0.013031249999999998,3.9958019730803356,-1.218930990806851e-146,1774.4055334920181,0.24486820073506418,0.0020091090635878371,0.00097544986235441409,0.0019381193330048143,0.070145375586427569,0.0049062209589410613,0.15791991953044851,1.0149760929877661e-05,3.751397695750483e-07,0.76209528076453625
0.013124999999999998,4.0152310484818683,-1.218950861592835e-146,1783.5674529136977,0.2436833216442627,0.0018142539256354455,0.00082736206531443322,0.0017463211672422668,0.070114281487862209,0.0047233140970053744,0.15844521916089971,9.1957836675686203e-06,3.4485807667850281e-07,0.76231970745429634
0.013218749999999998,4.0317731099784302,-1.2189719190080206e-146,1791.3833139749167,0.24268350719011772,0.0016442343937544432,0.00070680948001042277,0.0015797616345429616,0.070096826900894804,0.0045466826114568277,0.15890170377293025,8.3694584129120686e-06,3.1919809289873638e-07,0.76251529254990447
0.013312499999999998,4.0459188292107822,-1.2189933003243963e-146,1798.0806153637468,0.24183501432618137,0.0014954742275370709,0.00060788324462853155,0.001434617205182571,0.070089857699346711,0.0043776045804119149,0.15929982774373236,7.6502436680195432e-06,2.9716916101963897e-07,0.76268678788633171
0.013499999999999998,4.0680373969006869,-1.2190378906249065e-146,1808.5923146456435,0.2405201185899439,0.0012535999703811318,0.00046068265117142041,0.001200381323071775,0.070099110262199046,0.0040691260666362609,0.15994140386015732,6.4927031008259489e-06,2.6192601609944973e-07,0.762968941237266
0.013687499999999998,4.0852415140076914,-1.2190627718192445e-146,1816.7871569810313,0.23950721958656046,0.0010622133263565648,0.00035583847743272847,0.0010157885840196132,0.070121860832056071,0.0037906082977649021,0.16045409992800808,5.5771594764833777e-06,2.3387011276376979e-07,0.76319377952477274
0.013874999999999998,4.0988741013076497,-1.2190884041994452e-146,1823.2933838650304,0.23871063406924284,0.00090900342992388103,0.00027959312396712586,0.0008685760359568224,0.07015145703253671,0.0035404822621344562,0.16087018860823885,4.8439274651948408e-06,2.1097361800729426e-07,0.76337564460615892
0.014062499999999999,4.1098510483592223,-1.2191150896790553e-146,1828.5408837340399,0.23807306483934462,0.00078507839160084803,0.00022311368020004377,0.000749858365318048,0.070184044218571551,0.0033164243507510182,0.16121236178992657,4.2501869244046793e-06,1.9193924169341567e-07,0.76352467707746585
0.014249999999999999,4.1188128459028013,-1.2191423607359715e-146,1832.8311596459052,0.23755506045594477,0.00068389794728761352,0.00018058610906740492,0.00065315107099685199,0.070217370137220236,0.0031158672215019739,0.16149698764499013,3.7647868548443376e-06,1.7589182528360683e-07,0.76364819919025562
0.014437499999999999,4.1262138409361899,-1.219171465517505e-146,1836.3787336282726,0.23712896904966393,0.00060060060226341087,0.00014809891468718875,0.00057367238853475635,0.070250153279333608,0.0029363399197966677,0.16173601419553416,3.364739465394792e-06,1.6221863773854175e-07,0.76375159374174717
